         Curves of the Total Solar Eclipse of 2043 April 09         
+------------------------------------------------------------------+
|                    Rising and Setting Curves                     |
+------------------------------------------------------------------+
|      Time in UT1      |      Latitude      |      Longitude      |
|      18:56:30.00      |     31°07.98'N     |     161°32.72'E     |
|      18:56:00.00      |     30°51.60'N     |     161°43.27'E     |
|      18:55:30.00      |     30°35.23'N     |     161°53.80'E     |
|      18:55:00.00      |     30°18.88'N     |     162°04.31'E     |
|      18:54:30.00      |     30°02.56'N     |     162°14.80'E     |
|      18:54:00.00      |     29°46.26'N     |     162°25.26'E     |
|      18:53:30.00      |     29°29.99'N     |     162°35.71'E     |
|      18:53:00.00      |     29°13.74'N     |     162°46.14'E     |
|      18:52:30.00      |     28°57.52'N     |     162°56.54'E     |
|      18:52:00.00      |     28°41.32'N     |     163°06.93'E     |
|      18:51:30.00      |     28°25.15'N     |     163°17.29'E     |
|      18:51:00.00      |     28°09.01'N     |     163°27.64'E     |
|      18:50:30.00      |     27°52.90'N     |     163°37.96'E     |
|      18:50:00.00      |     27°36.82'N     |     163°48.27'E     |
|      18:49:30.00      |     27°20.77'N     |     163°58.56'E     |
|      18:49:00.00      |     27°04.75'N     |     164°08.83'E     |
|      18:48:30.00      |     26°48.76'N     |     164°19.08'E     |
|      18:48:00.00      |     26°32.81'N     |     164°29.31'E     |
|      18:47:30.00      |     26°16.89'N     |     164°39.52'E     |
|      18:47:00.00      |     26°01.01'N     |     164°49.71'E     |
|      18:46:30.00      |     25°45.17'N     |     164°59.89'E     |
|      18:46:00.00      |     25°29.36'N     |     165°10.04'E     |
|      18:45:30.00      |     25°13.59'N     |     165°20.18'E     |
|      18:45:00.00      |     24°57.86'N     |     165°30.30'E     |
|      18:44:30.00      |     24°42.16'N     |     165°40.40'E     |
|      18:44:00.00      |     24°26.51'N     |     165°50.49'E     |
|      18:43:30.00      |     24°10.90'N     |     166°00.56'E     |
|      18:43:00.00      |     23°55.34'N     |     166°10.60'E     |
|      18:42:30.00      |     23°39.81'N     |     166°20.64'E     |
|      18:42:00.00      |     23°24.33'N     |     166°30.65'E     |
|      18:41:30.00      |     23°08.90'N     |     166°40.65'E     |
|      18:41:00.00      |     22°53.51'N     |     166°50.63'E     |
|      18:40:30.00      |     22°38.16'N     |     167°00.59'E     |
|      18:40:00.00      |     22°22.87'N     |     167°10.54'E     |
|      18:39:30.00      |     22°07.62'N     |     167°20.47'E     |
|      18:39:00.00      |     21°52.43'N     |     167°30.38'E     |
|      18:38:30.00      |     21°37.28'N     |     167°40.28'E     |
|      18:38:00.00      |     21°22.19'N     |     167°50.16'E     |
|      18:37:30.00      |     21°07.14'N     |     168°00.02'E     |
|      18:37:00.00      |     20°52.15'N     |     168°09.87'E     |
|      18:36:30.00      |     20°37.22'N     |     168°19.70'E     |
|      18:36:00.00      |     20°22.34'N     |     168°29.51'E     |
|      18:35:30.00      |     20°07.51'N     |     168°39.31'E     |
|      18:35:00.00      |     19°52.74'N     |     168°49.09'E     |
|      18:34:30.00      |     19°38.03'N     |     168°58.86'E     |
